date,country,SiteName,Technology,updatedby,updatetime,Volume
2025-04-25 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6035.0
2024-04-29 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6016.0
2024-06-01 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4252.0
2024-06-02 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5211.0
2024-06-03 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3853.0
2024-06-04 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5685.0
2024-06-05 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4712.0
2024-06-06 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3572.0
2024-06-07 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4729.0
2024-06-08 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3845.0
2024-06-09 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5379.0
2024-06-10 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6316.0
2024-06-11 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5513.0
2024-06-12 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5735.0
2024-06-13 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5589.0
2024-06-14 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5274.0
2024-06-15 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4911.0
2024-06-16 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3411.0
2024-06-17 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6365.0
2024-06-18 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6733.0
2024-06-19 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5483.0
2024-06-20 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4188.0
2024-06-21 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4352.0
2024-06-22 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3159.0
2024-06-23 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4593.0
2024-06-24 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5551.0
2024-06-25 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6870.0
2024-06-26 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5883.0
2024-06-27 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3083.0
2024-05-31 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5562.0
2024-05-30 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3333.0
2024-05-29 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4889.0
2024-05-14 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5487.0
2024-05-02 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3929.0
2024-05-03 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6339.0
2024-05-04 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4372.0
2024-05-05 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6898.0
2024-05-06 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6373.0
2024-05-07 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4871.0
2024-05-08 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6698.0
2024-05-09 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3382.0
2024-05-10 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5369.0
